ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
2174,1954,2,3,3939240.0,1,1,08-03-2014,38,935,85,510,170,85,510,2,1,1,2,5,0,0,0,0,0,0,3,11,0
4141,1965,2,4,6087105.0,0,0,21-08-2013,26,36210,4165,10795,9435,1785,3570,1,8,2,10,4,0,0,0,0,0,0,3,11,0
6182,1984,2,4,2264910.0,1,0,10-02-2014,26,935,340,1700,850,255,425,2,2,0,4,6,0,0,0,0,0,0,3,11,0
5324,1981,4,2,4954905.0,1,0,19-01-2014,94,14705,3655,10030,3910,2295,1275,5,5,3,6,5,0,0,0,0,0,0,3,11,0
7446,1967,3,4,5313605.0,0,1,09-09-2013,16,44200,3570,8330,0,3570,1190,2,6,4,10,6,0,0,0,0,0,0,3,11,0
965,1971,2,1,4728975.0,0,1,13-11-2012,34,19975,5525,13940,4250,4165,2295,4,7,3,7,6,0,0,0,0,0,0,3,11,0
6177,1985,4,2,2843590.0,1,0,08-05-2013,32,6460,850,4760,255,85,1955,2,4,0,4,8,0,0,0,0,0,0,3,11,0
1994,1983,2,2,4367427.5,1,0,15-11-2013,11,425,425,510,0,170,85,1,1,0,2,7,0,0,0,0,0,0,3,11,0
387,1976,1,2,637500.0,0,0,13-11-2012,59,510,1360,935,935,85,1360,1,2,0,3,8,0,0,0,0,0,0,3,11,0
8180,1952,3,1,5045090.0,1,1,15-11-2013,53,19805,170,4505,255,425,1190,3,6,1,5,6,0,0,0,0,0,0,3,11,0
2569,1987,2,2,1472455.0,0,0,10-10-2012,38,255,1190,1445,510,85,425,1,1,0,3,8,0,0,0,0,0,0,3,11,0
9736,1980,2,2,3557250.0,1,1,24-12-2012,51,4505,425,1615,170,1105,340,3,3,0,3,8,0,0,0,0,0,0,3,11,0
4939,1946,2,4,3209600.0,0,0,31-08-2012,20,7140,425,3230,12750,1020,2380,2,4,1,6,7,0,0,0,0,0,0,3,11,0
2278,1985,0,3,2874020.0,1,0,03-11-2012,86,340,1445,1615,2550,2040,3315,2,2,1,3,6,0,0,0,0,0,0,3,11,0
9360,1982,2,2,3148400.0,0,0,08-08-2012,41,7310,170,6205,5865,3230,4080,1,4,2,5,8,0,0,0,0,0,0,3,11,0
4047,1954,4,2,5552540.0,0,1,11-01-2014,0,32640,0,8670,1785,2720,425,3,6,2,9,4,0,0,0,0,0,0,3,11,0
1409,1951,2,4,3458565.0,0,1,18-03-2013,69,22950,255,2295,3315,510,8415,7,7,1,5,8,0,0,0,0,0,0,3,11,0
7892,1969,2,3,1580065.0,0,0,02-01-2013,89,510,340,2125,1275,1020,1105,2,2,1,3,7,0,0,0,0,0,0,3,11,0
2404,1976,2,2,4535515.0,1,1,27-05-2013,4,14705,340,2550,255,510,3485,4,5,1,4,7,0,0,0,0,0,0,3,11,0
9422,1989,2,2,3260600.0,1,0,31-05-2013,26,3060,170,3570,1700,1785,850,2,2,1,4,3,0,0,0,0,0,0,3,11,0
6864,1989,3,1,933215.0,0,0,22-05-2014,34,680,340,850,170,170,340,2,3,0,3,5,0,0,0,0,0,0,3,11,0
3033,1963,3,4,3282700.0,0,0,11-05-2013,56,9520,1445,3740,2890,1870,7565,1,2,5,3,3,0,0,0,0,0,0,3,11,0
8755,1946,3,2,5835845.0,0,0,20-02-2013,4,40970,2890,40035,10115,5780,1870,1,3,5,9,7,0,0,0,0,0,0,3,11,0
10738,1951,3,3,4198065.0,1,1,29-08-2013,55,3400,0,1615,170,85,255,1,2,0,3,7,0,0,0,0,0,0,3,11,0
4339,1970,4,2,5725005.0,0,1,31-12-2013,37,59670,1445,12835,0,680,2975,5,5,6,12,2,0,0,0,0,0,0,3,11,0
10755,1976,0,2,2016030.0,1,0,02-09-2013,76,510,255,1190,1275,595,3060,3,3,1,2,7,0,0,0,0,0,0,3,11,0
8595,1973,2,5,3606465.0,0,1,11-02-2014,99,4675,0,510,170,0,340,2,1,1,3,5,0,0,0,0,0,0,3,11,0
503,1985,3,2,1747515.0,1,0,12-03-2013,88,1105,85,2465,255,0,595,2,2,0,3,8,0,0,0,0,0,0,3,11,0
8430,1957,2,4,1869490.0,0,1,24-12-2012,4,765,0,510,255,85,255,1,0,0,3,5,0,0,0,0,0,0,3,11,0
